as-set:         AS-1-IX-V6
descr:          1-IX Internet Exchange
members:        AS-1031-PEER1
members:        AS-TELE2
members:        AS1273:AS-CWW-V6
members:        AS-WTUC
members:        AS-FBRX
members:        AS-UARNET
members:        AS-TDCNET
members:        AS3326:AS-EXT
members:        AS-ZETNET
members:        AS-MFNX
members:        AS-VSYS
members:        AS-FTS
members:        AS6777:AS-AMS-IX-RS
members:        AS-UKRPACK-UAIX
members:        AS-TENET-UA
members:        AS-HURRICANEV6
members:        AS-NEOT6
members:        AS-SEWAN
members:        AS-SLOVANET
members:        AS8801:AS-ROCKET
members:        AS-MOLDTELECOM-V6
members:        AS-GBXS6
members:        AS-NEMI
members:        AS-NETIA
members:        AS12963:AS-CUST2UP-v6
members:        AS-SOX-SRB
members:        AS-BANKINFORM
members:        AS-ITS-WORLD
members:        AS-CLOUDFLARE
members:        AS-GOOGLE
members:        AS15435:AS-DELTAFIBER
members:        AS-ITL
members:        AS15645
members:        AS-KYIVSTAR
members:        AS-HA-VEL-COMPLETE
members:        AS-COLUMBUS
members:        AS-LEASEWEB
members:        AS-OVH
members:        AS-EXATEL-INT
members:        AS-AKAMAI
members:        AS-TELEDATA
members:        AS-UMC-CUSTOMERS
members:        AS-DSS-ALL
members:        AS24115
members:        AS-ALIBABA-CLOUD-CDN
members:        AS-SGGS
members:        AS-HETZNER
members:        AS-MYLOC
members:        AS-MCLAUT
members:        AS-TREML-STURM
members:        AS-CYFRA-UA
members:        AS-MASTER
members:        AS-FAUST
members:        AS-SERVIHOSTING
members:        AS30058:AS-CONE
members:        AS30823:AS-AUROLOGIC
members:        AS-KOMITEX
members:        AS-ENERGOTEL
members:        AS31128
members:        AS-FNT
members:        AS-FBRX-CLD
members:        AS31561:AS-MEMBERS
members:        AS-LANTELECOM
members:        AS-SHTORM
members:        AS-VALVE
members:        AS-FACEBOOK
members:        AS-KIEVNET
members:        AS-LIFECELL-IPV6
members:        AS-RENOME
members:        AS-IMC
members:        AS34565:AS-TURKIX
members:        AS-KHMAXNET
members:        AS-NASHNET
members:        AS-IP-SERVICES
members:        AS-IFOG
members:        AS35325
members:        AS-TH
members:        AS36040
members:        AS-VINRADIONET
members:        AS-ONECOM-UA
members:        AS-LANETUA-V6
members:        AS-VIZITNET
members:        AS-D2CLOUD
members:        AS-NOVATEL
members:        AS-WEARENET
members:        AS-NETUNDER
members:        AS-SPEED-IX
members:        AS41871
members:        AS-STARGROUP
members:        AS42216:AS-NETVISER
members:        AS42295:AS-TBISS
members:        AS-UKRBIT
members:        AS-HAWE-ALL
members:        AS42798
members:        AS-LIMANET
members:        AS-MAXIMUM-V6
members:        AS-GN-GLOBAL
members:        AS-ELHIM
members:        AS-VIVA-MTS
members:        AS-EVO
members:        AS-INFOMIR
members:        AS44294
members:        AS-SNS-SLAV-V6
