% This is the RIPE Database query service.
% The objects are in RPSL format.
%
% The RIPE Database is subject to Terms and Conditions.
% See https://docs.db.ripe.net/terms-conditions.html

% Note: this output has been filtered.
%       To receive output for a database update, use the "-B" flag.

% Information related to 'AS-INTAL'

as-set:         AS-INTAL
descr:          INTAL and its transit customers ASNs list
members:        AS-UZPAK # UZTELECOM's as-set customer
members:        AS-TPSUZ # TPS's as-set customer
members:        AS-UMS # UMS's as-set customer
members:        AS-COSCOM # COSCOM's as-set customer
members:        AS-NANO-PROV # NANOTELECOM's as-set customer
members:        AS-SET-TajikTelecom # TOJIKTELECOM's as-set customer
members:        AS-ASIA-WIRELESS # ASIA-WIRELESS's as-set customer
members:        AS-IPLUS # AS-IPLUS's as-set customer
members:        AS-TMTELECOMPEERS # TurkmenTelecom's as-set customer
members:        AS138322:AS-CUSTOMER # AWCC's as-set customer
members:        AS131284:AS-ETA # ETISALAT's as-set customer
members:        AS-SET-55330 # Afghantelcom's as-set customer
members:        AS28910
members:        AS34250 # UZTELECOM-AS
members:        AS8193  # BRM-AS
members:        AS202175 # BKM-AS
members:        AS202660 # BRM-DATACENTER-AS
members:        AS197486 # UZIX-AS
members:        AS201767 # UZMOBILE-AS
members:        AS39568 # ASIA-WIRELESS-AS
members:        AS29385 # BUZTON-JV-AS
members:        AS49273 # COSCOM-AS
members:        AS209033 # CITYNET-AS
members:        AS57016 # ISTV-AS
members:        AS58254 # NANOTELECOM-AS
members:        AS210774 # INHA Univ AS
members:        AS21001 # NETKA-AS
members:        AS12365 # SARKOR-AS
members:        AS31203 # SHARQ-TELECOM-AS
members:        AS59668 # TURON-AS
members:        AS34718 # TPSUZ-AS
members:        AS39032 # ISPETC
members:        AS47452 # iMAX-AS
members:        AS64466 # UMS-AS
members:        AS41202 # UNITEL-AS
members:        AS58330 # ALNET-AS
members:        AS204336 # ANY-MOBILE-AS
members:        AS42017 # ARSINFORM-AS
members:        AS43533 # ASGALSTELECOM-AS
members:        AS205640 # AS-TNET-AS
members:        AS209078 # AT-AS
members:        AS57363 # CDNVIDEO-AS
members:        AS51503 # DGT-UZ-AS
members:        AS49146 # DOSTLINK-AS
members:        AS39231 # DTL-AS
members:        AS49529 # DUPLEX-AS
members:        AS201772 # GARNET-AS
members:        AS56759 # HAMKORTV-AS
members:        AS57764 # IMAGETV-AS
members:        AS209951 # INDEPENDENT-AS
members:        AS43060 # IPLUS-AS
members:        AS47966 # KOINOT-AS
members:        AS50729 # KRON-TELECOM-AS
members:        AS47141 # LITTEL-AS
members:        AS61019 # MEDIABAY-ASIA-AS
members:        AS50025 # NET-TELEVISION-AS
members:        AS49235 # SIMUSUZ-AS
members:        AS47752 # SKS-UZ-AS
members:        AS43268 # SNS-AS
members:        AS49442 # SONET-AS
members:        AS49424 # NEWLINESOLUTIONS-AS
members:        AS25389 # UZ-BCC-AS205640
members:        AS43964 # UZ-CCC-AS
members:        AS31492 # UZSCI-AS
members:        AS200788 # UZ-SALOM-AS
members:        AS48979 # UZINFOCOM-AS
members:        AS41177 # VTVS-AS
members:        AS208870 # ORIENT-AS
members:        AS51346 # TOJIKTELECOM-AS
members:        AS55330 # AFGHANTELECOM-AS
members:        AS20661 # TurkmenTelecom-AS
members:        AS131284 # ETISALATAFG-AS-AP
members:        AS138322 # AWCC-AS
tech-c:         VZ1738-RIPE
tech-c:         FM22719-RIPE
admin-c:        VZ1738-RIPE
admin-c:        FM22719-RIPE
mnt-by:         INTAL-MNT
created:        2004-11-17T08:30:21Z
last-modified:  2025-04-25T08:40:05Z
source:         RIPE # Filtered

person:         Farukh Mukhamatshin
address:        Navoi str.28, Tashkent, Uzbekistan
phone:          +998998871146
nic-hdl:        FM22719-RIPE
mnt-by:         FM22719-MNT
created:        2020-10-29T06:46:42Z
last-modified:  2020-10-29T07:03:19Z
source:         RIPE

person:         Vadim Zubanov
address:        Navoi str 28. Tashkent. Uzbekistan
phone:          +998998223119
nic-hdl:        VZ1738-RIPE
mnt-by:         ZVA68
created:        2017-12-15T06:40:09Z
last-modified:  2018-03-18T06:58:57Z
source:         RIPE

% This query was served by the RIPE Database Query Service version 1.117 (ABERDEEN)


